,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
95,0.0,0.50597996,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,3.397814746873544
96,0.26077473,2.4839005000000003,0.0,0.25103486,0.0,4.965,0.0,0.0,0.0,0.7474147,2.5183092003318466
97,0.0,2.9806814,0.0,0.0,0.0,5.04,0.0,0.0,0.0,1.7439677,9.82796094566309
98,0.0,3.4866614,0.0,0.0,0.0,4.41,0.23593907,0.0,0.0,0.7274832,5.801724972381004
99,0.0,2.9806805,0.0,0.0,0.0,4.95,0.0,0.23169488,0.0,1.2456912,2.0384911167371755
100,0.0,3.008279,0.0,0.0,0.0,4.95,0.0,0.7454513,0.0,0.7374499,1.7263842425256202
101,0.0,2.74149,0.0,0.0,0.0,4.945,0.0,0.0,0.0,1.9831411,10.584922160235932
102,0.0,3.5142599999999997,0.0,0.0,0.0,1.94,0.0,0.0,0.23268639,0.7274832,2.7547733070281417
103,0.0,3.73505,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.99655294,8.35144243349786
104,0.0,2.4839013,0.0,0.0,0.0,2.365,0.0,0.0,0.0,1.7539334,8.922908307884542
105,0.0,2.732291,0.23014362,0.0,0.0,4.365,0.0,0.0,0.0,1.5047952,2.819886911706848
106,0.0,1.9963202000000002,0.0,0.0,0.0,4.975,0.0,0.0,0.0,2.7704169999999997,13.016154120231493
107,0.0,3.5050592000000003,0.0,0.0,0.0,2.97,0.25645602,0.0,0.0,0.49827647,5.354290957223943
108,0.0,2.9898803,0.0,0.0,0.0,4.98,0.9745326999999999,0.23169488,0.0,0.0,2.279825522753016
109,0.0,3.7534497000000004,0.0,0.2510357,0.0,4.455,0.23593907,0.0,0.0,0.0,5.267631686813312
110,0.0,0.49678096,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,3.6528747635629433
111,0.0,0.48758113,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,3.3644833721311245
112,0.0,2.2355107999999997,0.0,0.0,0.0,4.15,0.0,0.24176782,0.49572390000000005,1.255657,0.6372622405674512
113,0.0,2.4747014,0.0,0.0,0.0,3.37,0.0,0.0,0.24280342,1.2456912,3.045829174817225
114,0.0,1.7387298,0.0,0.51103544,0.0,4.205,0.0,0.0,0.0,1.9931058999999998,10.767050405280312
115,0.0,1.9871203999999998,0.0,0.0,0.0,2.175,0.0,0.22162098,0.0,1.9731753,1.3882660392415431
116,0.0,2.2447107,0.0,0.0,0.0,4.97,0.0,0.0,0.0,2.501348,10.98471849032744
117,0.0,2.4838996,0.0,0.0,0.0,4.375,0.0,0.0,0.0,1.9931058999999998,10.154543721480184
118,0.0,2.7230911,0.0,0.0,0.0,3.215,0.0,0.25184172,0.0,1.4948294,2.070353444071994
119,0.0,3.7442498,0.0,0.0,0.0,3.185,0.0,1.0073669,0.0,0.0,1.3913516718265286
120,0.2507447,3.7442498,0.0,0.0,0.0,4.83,0.0,0.5137564,0.0,0.0,1.051048647553902
121,0.23068562,2.7598906000000003,0.0,0.0,0.0,3.63,0.0,0.0,0.0,1.4848636,3.708388929262617
122,0.4914594,0.22079095,0.0,0.7351739,0.0,4.795,0.27697298,0.0,0.0,1.9931058999999998,0.9794022239241728
123,0.0,2.4839013,0.2501566,0.0,0.49056986,4.81,0.0,0.0,0.0,0.99655294,3.772186280656944
124,0.0,1.2511504999999998,0.0,1.2641408,0.0,4.37,0.0,0.0,0.0,2.2422442000000005,5.3198458174113785
125,0.0,1.5271386999999998,0.0,0.0,0.0,3.395,0.0,0.0,0.0,2.9996235,12.455624373718145
126,0.0,0.49678009999999995,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.3432043262088813
127,0.0,0.9659615,0.0,0.0,0.7408630999999999,5.01,0.0,0.0,0.0,2.7405207000000003,13.083678477789233
128,0.0,1.9779205000000002,0.0,0.0,0.0,4.985,0.0,0.0,0.0,2.7305547999999997,10.467841696821589
129,0.0,0.49678009999999995,0.0,0.0,0.0,4.975,0.0,0.0,0.0,3.7271087,11.170268448746278
130,0.0,1.72953,0.0,0.0,0.0,4.995,0.0,0.0,0.0,2.9996245,10.72135999584616
131,0.0,2.00552,0.0,0.0,0.0,5.015,0.0,0.0,0.0,2.4913824,10.756139233869138
132,0.0,1.5087391,0.0,0.0,0.22025761,5.195,0.0,0.0,0.0,2.7405207000000003,13.166607058484306
133,0.0,0.25758946,0.0,0.0,0.0,3.825,0.0,0.0,0.0,4.4844894,7.629740634137766
134,0.0,0.24839048,0.0,0.0,0.0,3.775,0.0,0.0,0.0,4.2453145999999995,7.544421513504716
135,0.0,0.98436034,0.0,0.0,0.0,4.415,0.0,0.0,0.0,3.497901,12.30882040573373
136,0.0,0.23919064,0.0,0.0,0.47054705,4.965,0.0,0.0,0.0,3.5078669000000002,3.5000465281766875
137,0.0,1.2235501,0.0,0.0,0.0,3.775,0.0,0.0,0.0,2.9896588,11.65694142590703
138,0.0,1.2235508999999998,0.0,0.0,0.79092157,3.545,0.0,0.0,0.0,2.501348,13.165987890721896
139,0.0,1.5087391,0.0,0.0,0.0,5.2,0.0,0.0,0.0,2.9996245,12.723417665261954
140,0.0,0.47838128,0.0,0.0,0.0,4.985,0.0,0.0,0.0,0.0,3.34500918443238
141,0.0,0.50597996,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.2247290813011253
142,0.0,1.7387298,0.0,0.0,0.0,2.765,0.0,0.0,0.0,2.4814167,8.36631465218136
143,0.0,0.72677,0.0,1.4972451,0.0,2.315,0.0,0.0,0.0,2.25221,3.832020730933767
144,0.0,1.4903412,0.0,0.0,0.5105936,4.97,0.0,0.0,0.0,2.760452,13.947276755411911
145,0.0,1.9779214,0.0,0.0,0.0,2.975,0.0,0.0,0.0,2.7305547999999997,9.69044833309536
146,0.0,0.24838872,0.0,1.2641408,0.0,3.335,0.0,0.0,0.0,3.2288322,9.13120337676656
147,0.0,0.23919064,0.0,0.0,0.7208393,5.235,0.0,0.0,0.0,3.2487619999999997,3.236554458402992
148,0.0,0.23918976,0.0,0.50207055,0.7208403,3.85,0.0,0.0,0.0,2.7604509999999998,2.6416532094049563
149,0.0,0.23919064,0.0,1.255176,0.0,4.045,0.0,0.0,0.0,2.9796932000000003,4.204087105475495
150,0.0,1.2327508,0.0,0.78000176,0.0,3.195,0.0,0.0,0.0,2.4814177,2.883082203436851
151,0.0,0.24839048,0.0,0.0,0.0,2.98,0.0,0.0,0.0,4.494455,8.0728811038051
152,0.0,1.4903402000000001,0.0,0.0,0.46053517,3.125,0.0,0.0,0.0,2.2223127000000003,12.786963190882386
153,0.0,0.2299908,0.0,0.0,0.47054705,1.685,0.0,0.0,0.0,3.7570040000000002,2.706878380757401
154,0.0,2.2447107,0.0,0.0,0.0,3.975,0.0,0.0,0.0,2.501348,12.39238251661052
155,0.0,0.50597906,0.0,0.0,0.0,4.955,0.0,0.0,0.0,0.0,3.8980440255661564
156,0.0,1.4995393,0.0,0.0,0.5005827,4.96,0.0,0.0,0.0,2.501348,12.384078121996733
157,0.0,1.2327508,0.0,0.0,0.47054705,4.925,0.0,0.0,0.0,2.4913824,13.322784120228095
158,0.0,1.2419506,0.0,0.0,0.48055893,4.82,0.0,0.0,0.0,2.7405207000000003,14.138897820108228
159,0.0,0.7359716,0.0,0.0,0.0,1.88,0.0,0.0,0.0,3.497901,8.950208219893952
160,0.0,1.2419506,0.0,0.0,0.9911535,4.4,0.0,0.0,0.0,1.9931058999999998,14.47267358364577
161,0.0,1.9963185,0.0,0.0,0.9911554,2.385,0.0,0.0,0.0,1.2456912,11.626308006583425
162,0.0,0.98436034,0.0,0.0,0.0,4.555,0.0,0.0,0.0,3.2487619999999997,12.35262360372251
163,0.0,1.00276,0.0,0.22413847,0.96111786,1.53,0.0,0.0,0.0,1.2357264,8.66396216764493
164,0.0,1.7571294999999998,0.0,0.0,0.23026758,3.415,0.0,0.0,0.0,2.4714508,13.072460185518223
165,0.0,1.7755293,0.0,0.0,0.0,3.2,0.0,0.0,0.0,2.760452,11.522633721293824
166,0.0,1.7387298,0.0,0.0,0.46053708,4.95,0.0,0.0,0.0,2.2422442000000005,16.050879013385686
167,0.0,1.7387298,0.0,0.0,0.0,3.78,0.0,0.0,0.0,2.9896588,11.663710272060495
168,0.0,0.23919064,0.0,0.49310395,0.0,4.03,0.0,0.0,0.0,3.5078660000000004,9.479991627791174
169,0.0,2.244709,0.0,0.0,0.0,1.56,0.0,0.0,0.0,2.2123477000000005,8.03905000296503
170,0.0,0.5059808,0.0,0.0,0.0,4.985,0.0,0.0,0.0,0.0,3.39742587493196
171,0.0,0.48758113,0.0,0.0,0.0,4.98,0.0,0.0,0.0,0.0,3.2506622953620044
172,0.0,2.9990792,0.0,0.0,0.23026758,4.16,0.0,0.0,0.0,1.5247258,9.77373523571425
173,0.0,1.241949,0.0,0.0,0.4905708,4.865,0.0,0.0,0.0,2.4913824,12.352366469735664
174,0.0,0.75436956,0.0,0.0,0.0,4.415,0.0,0.0,0.0,3.9961765,10.901189436432713
175,0.0,1.00276,0.0,0.7531054,0.23026949,2.765,0.2667145,0.0,0.0,1.4848636,3.5242267109560315
